Timestamp,Gyr_X,Gyr_Y,Gyr_Z,Activity
1581740162372,-7.203018,-1.5120087,-4.6875153,RUNNING
1581740162393,-5.5790253,-0.16923523,-7.0971527,RUNNING
1581740162411,-2.6953583,2.0688934,-8.290237,RUNNING
1581740162471,-9.941818,4.2217865,-8.904358,RUNNING
1581740162494,-11.498169,4.7938385,-7.98291,RUNNING
1581740162510,-9.609451,3.2396088,-3.122116,RUNNING
1581740162529,-3.517212,2.9136505,0.3005829,RUNNING
1581740162549,-0.11581421,3.065979,0.2750244,RUNNING
1581740162572,-0.55470276,2.2648926,-0.5313873,RUNNING
1581740162589,-1.5219727,1.7716827,-0.668808,RUNNING
1581740162609,-1.4228973,1.2603455,-0.16918945,RUNNING
1581740162641,0.32733154,-1.4603271,1.9804993,RUNNING
1581740162660,0.3715515,-1.7644653,2.1839752,RUNNING
1581740162685,0.23252869,-2.982605,2.689972,RUNNING
1581740162698,0.6053772,-4.5863495,2.9541626,RUNNING
1581740162718,2.7316437,-6.157089,3.3318024,RUNNING
1581740162738,5.175888,-6.600769,3.6492462,RUNNING
1581740162769,5.5849457,-4.4457397,3.5587006,RUNNING
1581740162777,4.4009094,-3.925888,4.198395,RUNNING
1581740162798,5.192398,-5.551483,5.287094,RUNNING
1581740162817,7.2052155,-3.5301514,5.6130524,RUNNING
1581740162837,6.5202484,-1.7836456,5.4383545,RUNNING
1581740162858,4.840866,-1.6600647,4.239929,RUNNING
1581740162884,4.376938,-1.5588684,2.926468,RUNNING
1581740162897,4.8994446,-0.69706726,1.5496063,RUNNING
1581740162916,3.7159424,-0.15698242,-0.14257812,RUNNING
1581740162937,0.0844574,-0.29333496,-1.4618988,RUNNING
1581740162967,-3.5406494,-0.31411743,-3.2073364,RUNNING
1581740162978,-4.80777,0.25421143,-5.540268,RUNNING
1581740162996,-4.250641,0.9594269,-7.263321,RUNNING
1581740163016,-4.1169586,1.2294617,-7.387436,RUNNING
1581740163036,-5.1987305,1.5293427,-6.7104645,RUNNING
1581740163085,-7.999832,4.703293,-7.420456,RUNNING
1581740163105,-9.228088,3.925644,-5.321884,RUNNING
1581740163125,-6.770523,3.4281616,-2.0632324,RUNNING
1581740163145,-1.6860199,3.4984741,-1.0011749,RUNNING
1581740163165,0.13238525,2.6792908,-1.6211548,RUNNING
1581740163185,-1.0905304,1.4723358,-1.7106323,RUNNING
1581740163207,-2.1462097,0.7863159,-1.2014313,RUNNING
1581740163224,-1.8575287,0.24302673,-0.17132568,RUNNING
1581740163244,-0.683609,-0.58255005,1.2795563,RUNNING
1581740163264,0.34970093,-1.9237213,1.973053,RUNNING
1581740163285,0.3539734,-2.1128082,2.082779,RUNNING
1581740163304,0.67248535,-2.8441162,3.1427155,RUNNING
1581740163323,1.7148438,-4.273163,4.694275,RUNNING
1581740163344,3.0964966,-5.6372375,5.0905457,RUNNING
1581740163363,4.2453766,-5.854019,4.5131683,RUNNING
1581740163388,4.3567047,-4.1341553,3.2566986,RUNNING
1581740163403,5.1401978,-4.3946075,4.302246,RUNNING
1581740163422,6.580963,-4.01857,5.85701,RUNNING
1581740163442,5.589737,-2.1501007,6.6740723,RUNNING
1581740163482,4.82222,-2.5314636,4.6548615,RUNNING
1581740163502,5.9455414,-2.4318542,2.7059479,RUNNING
1581740163521,6.881912,-1.4230499,1.7291107,RUNNING
1581740163541,4.717285,-1.1631165,0.21961975,RUNNING
1581740163561,-1.1214294,-1.5253143,-1.7234192,RUNNING
1581740163581,-6.208069,-1.3229065,-4.2566223,RUNNING
1581740163605,-5.956665,-0.27896118,-6.4617157,RUNNING
1581740163621,-2.4743042,1.4318542,-7.2723846,RUNNING
1581740163641,-1.5826874,1.9229431,-6.752533,RUNNING
1581740163661,-4.305496,1.4030914,-6.498993,RUNNING
1581740163683,-7.895447,2.0177612,-7.6878357,RUNNING
1581740163700,-11.160477,3.8446808,-9.117416,RUNNING
1581740163721,-11.59404,4.343231,-7.553604,RUNNING
1581740163740,-6.4573364,3.816986,-3.3340912,RUNNING
1581740163760,-2.5052032,3.0084534,-0.56333923,RUNNING
1581740163780,-2.7544708,1.2006989,-0.27998352,RUNNING
1581740163800,-2.9867096,0.5679321,-0.30023193,RUNNING
1581740163821,-1.8852234,0.90348816,0.1333313,RUNNING
1581740163840,-0.83380127,0.80548096,0.54026794,RUNNING
1581740163861,-0.65696716,-0.35246277,1.1964722,RUNNING
1581740163890,0.23571777,-2.429718,2.0433502,RUNNING
1581740163908,0.57022095,-2.5969696,2.1418915,RUNNING
