Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581738537884,0.038253784,1.119339,9.264618,SITTING
1581738537885,-0.0730896,1.1624451,9.483688,SITTING
1581738537905,0.026290894,0.9816742,9.972092,SITTING
1581738537924,0.10887146,0.9206238,9.816483,SITTING
1581738537946,0.011917114,0.9337921,9.523178,SITTING
1581738537965,-0.3759613,1.0582886,9.167648,SITTING
1581738537989,-0.72550964,1.1313171,9.359192,SITTING
1581738538006,-0.36158752,0.71832275,9.974503,SITTING
1581738538058,-0.04914856,0.43699646,10.686768,SITTING
1581738538058,-0.24188232,0.46572876,10.490448,SITTING
1581738538063,-0.5315857,0.64888,9.7183075,SITTING
1581738538083,-0.9984436,0.92900085,9.865555,SITTING
1581738538104,-0.96372986,0.8559723,10.155258,SITTING
1581738538124,-0.44418335,0.6680298,10.230667,SITTING
1581738538146,-0.38433838,0.6955719,10.009201,SITTING
1581738538168,-0.39031982,0.7422638,9.644089,SITTING
1581738538186,-0.47291565,0.8344269,9.469315,SITTING
1581738538207,-0.4561615,0.83802795,9.615356,SITTING
1581738538265,-0.19158936,0.7099304,9.864365,SITTING
1581738538265,-0.015625,0.67163086,9.863159,SITTING
1581738538265,-0.095825195,0.8116913,9.45256,SITTING
1581738538284,-0.3292694,0.980484,9.288559,SITTING
1581738538303,-0.36637878,0.96492004,9.560287,SITTING
1581738538323,-0.2574463,0.8356323,9.86676,SITTING
1581738538343,-0.3125,0.7961273,9.918228,SITTING
1581738538366,-0.2610321,0.74824524,9.701553,SITTING
1581738538386,-0.32089233,0.7685852,9.612976,SITTING
1581738538406,-0.4106598,0.822464,9.74585,SITTING
1581738538463,-0.24307251,0.73387146,9.841614,SITTING
1581738538463,-0.114990234,0.67282104,9.798523,SITTING
1581738538463,-0.30891418,0.77937317,9.717117,SITTING
1581738538481,-0.36637878,0.8188782,9.796127,SITTING
1581738538501,-0.14251709,0.7494354,9.827255,SITTING
1581738538521,-0.1065979,0.79852295,9.726685,SITTING
1581738538541,-0.2837677,0.9397888,9.506424,SITTING
1581738538561,-0.45855713,0.9744873,9.562698,SITTING
1581738538582,-0.3292694,0.8799286,9.724289,SITTING
1581738538601,-0.17243958,0.85717773,9.70993,SITTING
1581738538656,-0.40707397,0.93499756,9.705154,SITTING
1581738538656,-0.35081482,0.9302063,9.481293,SITTING
1581738538658,-0.06111145,0.7171173,9.25383,SITTING
1581738538678,0.44407654,0.7207031,9.64888,SITTING
